"","Total Units","On Rent","Available","Avail.Manheim","Reserved","In Bodyshop","In Maintenance","Awaiting Maint","In Transit Close RA","In Transit Open RA","Missing","Pending Reg","Hold for Sale","Auction","Sold","Deactivated"
"ICE 12 Px Van","170","74","4","2","32","2","0","2","0","1","3","2","12","36","0"
"ICE Mini Van","28","7","0","0","10","1","0","0","0","0","0","0","2","7","0"
"ICE 96.3ft - 144WB Cargo","604","222","107","2","19","3","1","0","0","0","4","14","16","187","0"
"ICE 107ft - 159WB Cargo","66","26","6","0","1","0","0","0","0","0","2","2","2","16","0"
"ICE 15 Px Van","99","24","0","0","17","1","0","0","0","0","8","0","10","35","0"
"ICE Full-size SUV","114","11","89","0","7","0","0","0","0","0","1","0","0","1","0"
"ICE 5-7 Seat Px Van","28","14","1","0","4","0","0","0","0","0","0","0","5","2","0"
"EV Flat-bed Acrimoto","3","2","1","0","0","0","0","0","0","0","0","0","0","0","0"
"EV Cargo","48","3","44","0","0","0","0","0","0","0","1","0","0","0","0"
"ICE 12px Conv Cargo","5","2","0","0","0","1","0","0","0","0","0","0","0","3","0"
"ICE Pickup Truck","3","2","0","0","0","0","0","0","0","0","0","0","0","1","0"
"ICE 20ft Box Truck","3","2","1","0","0","0","0","0","0","0","0","0","0","0","0"
"ICE 15px Conv Cargo","1","0","0","0","2","0","0","0","0","0","0","0","0","1","0"
"ICE 14ft Box Truck","3","0","3","0","0","0","0","0","0","0","0","0","0","0","0"
"ICE MR 72ft - 130WB Cargo","1","0","0","0","0","0","0","0","0","0","0","0","1","5","0"
"ICE Passenger Sedan","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"Other Unknown","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"ICE Step Van","3","0","3","0","0","0","0","0","0","0","0","0","0","0","0"
"ICE 16ft Box Truck","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
